Unnamed: 0,name,time,brand,post,date,car name,location,posted,thanked,predicted_class,sentiment_score
0, suhaas307 , 11:00 ,Team-BHP Support,"Hyundai Venue N Line Review Hyundai Venue N Line Pros • Aggressive styling and distinctive touches set it apart from the regular Venue • Punchy 1.0L turbo-petrol motor with 118 BHP mated to a fast shifting dual-clutch AT • Firm yet compliant suspension coupled with weighted steering + paddle shifters + fruity exhaust note that make the Venue N Line a fun little package • Tasteful N Line-exclusive touches such as the N Line steering wheel, gear selector, drive-mode selector, red accents etc liven up the otherwise drab interior • Feature-rich equipment list includes 4-way electrically adjustable driver’s seat, auto-dimming IRVM, cabin air purifier, BlueLink telematics, Home to car (H2C) with Alexa / Google Voice assistant, voice-activated sunroof, wireless charging & more • Price premium over the regular Venue is totally justified by the additions & improvements • Safety kit = ESP, 6 airbags, rear disc brakes, Blue Link SOS, Hill Assist, factory-fitted dual camera dash-cam… • Hyundai's wide & competent after-sales network Hyundai Venue N Line Cons • More of a warmed-up compact crossover than a proper hot crossover • 1.0L DCT variant shows initial lag. Even otherwise, it’s not as explosive as VW’s 1.0 TSI • Handling is not as confidence-inspiring as one would expect from a ""hot"" crossover. Tyre upgrade is mandatory! The OEM rubber gives up easily • Diminutive street presence. Looks more hatchback than SUV from some angles, especially the rear • Strictly a 4-seater; the rear bench has very awkward seating for the middle occupant • No manual transmission even as an option! • Long term reliability of the DCT is a concern • Missing kit (auto wipers, steering reach adjustment...) Introduction Of all the car manufacturers in India, Hyundai was the last company that anyone expected to cater to the niche and minuscule enthusiast market in India. Yet, in the span of 1 year, Hyundai has launched not one, but two ""N"" inspired cars with a few more on the horizon. We say ""inspired"", because these N Line variants are not the full-fat double-cream ""N"" variants that have steadily gained popularity in the international markets, particularly in the European Union. That said, the Indian domestic market is clearly maturing enough for companies to consider introducing niche products that cater to an extremely exclusive segment. Hyundai’s ""N"" division is now more decorated than ever before. With inputs from its WRC program and having poached BMW M Division’s head honcho, Hyundai is evidently serious about its N Division. For more dope on Hyundai’s ""N"" division, we urge you to read our i20 N Line review published around this time last year. The Venue N Line, strangely, isn’t the first hot/warm compact crossover to hit the shelves. Enthusiasts may remember Fiat's Avventura Abarth, which was essentially a Punto Abarth on stilts. Enthusiasts may also remember Ford's attempt at a fun compact crossover, a la the EcoSport S powered by their famous EcoBoost 1.0 3-pot turbocharged engine mated to a 6-speed manual transmission, along with 'S' specific trinkets. Hyundai, however, would be hoping that the Venue N Line has a far greater impact on the market than the Avventura Abarth or the Ford EcoSport S, as only a handful of these warmed-up compact crossovers are found prowling the streets today. While such cars are gaining popularity and widespread notoriety in other markets, fast crossovers are still in their nascent stage in India and their scope for success may prove to be boundless. The idea of a souped-up compact crossover is a fantastic one considering the poor and sometimes non-existent roads in the country, not to mention the numerous hillocks that masquerade as speed breakers. Hyundai Venue N Line Price & Brochure The N Line is available in 2 variants - N6 and N8 priced at Rs. 12.16 lakh and Rs. 13.15 lakh (ex-showroom, India), respectively. The dual-tone versions cost Rs. 15,000 more. We feel, compared to the equivalent variants of the standard Venue or even other sub 4-m SUVs, these prices are quite competitive considering what the N Line offers. You can download the 2022 Hyundai Venue N Line brochure here - Hyundai Venue N Line Brochure. Exterior The N Line variants of the Venue have been applied to the facelifted version of the Venue. Much like its hatchback sibling, Hyundai has gone to town with the lashes of red all over the Venue N Line's bodywork. While to some, it may look good and suits the ethos of the N branding, it may come across as a tad shouty and overdone to others. The massive, borderline-grotesque chrome grille up front does not help matters either as it looks hopelessly disproportionate and comical given the overall size and footprint of the entire car. That apart, the Venue is a smart-looking car, especially in its facelifted guise with its sharper lines, squared-off stance and new tail-light assembly that extends across the width of the rear boot. N Line-exclusive touches include N Line badges on the front grille, side flanks and boot lid, N Line alloy wheels and, of course, the signature double-barrel exhaust tips peeking out from under the rear skid plate. The Venue N Line comes in two single-tone colours - Polar White and Shadow Grey and three dual-tone colours - Thunder Blue with Phantom Black roof, Shadow Grey with Phantom Black roof and Polar White with Phantom Black roof. The new colour option called Shadow Grey is similar to the famous Nardo Greys and Chalk/Crayon Hues from European sports car manufacturers and not too different from the Steel Grey option of the erstwhile Skoda Octavia vRS 230, Hyundai’s new Shadow Grey is a real head-turner! Interior Much like the i20 N Line, the Venue N Line gets the same ol’ drab-ish grey and black plasticky interior but peppered with red accents like the red piping and red-chequered flag motif embossed on the black upholstery. The dashboard gets red ambient lighting and the sunroof helps alleviate some of the drab vibes by bathing the cabin in light. However, the real standout features are the fabulous N steering wheel with paddles and the N gear selector nicked from the i20N available in international markets. The Venue N Line also gets a rotary drive mode selector located behind the gear selector which allows you to switch between three driving modes – Normal, Eco and Sport. Interestingly, the i20 N Line does not get this rotary drive mode selector and we are not sure why? In terms of space and general accommodation, the Venue N Line is no different from the regular Venue. The front seats are fairly snug, offering adequate lateral and under-thigh support. Three adults on the rear seat will be a squeeze, though acceptable for short journeys. The rear bench does recline just a little bit, making longer journeys a less cumbersome affair. The boot is large enough for a weekend getaway, and the rear bench benefits from a split-folding option, allowing good flexibility while transporting larger objects.", 19th September 2022,hyundai-venue,Bangalore,"8,828","12,241",Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
1, suhaas307 , 11:00 ,Team-BHP Support,"Driving the Hyundai Venue N Line DCT 1.0 T-GDI engine could have done with a little more poke. Hyundai tells us that the engine is already close to its limit and headroom for tuning is severely limited: Fire up the familiar 1.0L 3-pot T-GDI motor and you are greeted by a distinct burble from the twin exhaust pipes. However, this exhaust note is not intrusive and can be drowned out by music or the A/C blower, if turned up. Hyundai mentioned that the Venue N Lines exhaust note is a smidge louder than the i20 N Lines and we agree with them. Select ""Normal"" on the drive mode rotary selector, slot the DCT gearbox in ""D"", ease off the brakes, and the Venue N Line creeps forward albeit without the urgency one may expect from a torque converter-equipped automatic car. The burbly note from the exhaust continues as the DCT seamlessly works its way up to the higher gears. The tiny 1.0 T-GDI motor coupled with the DCT gearbox makes light work of city traffic while treating you to the muted thrum from the exhaust. Select ""Eco"" on the drive mode rotary selector and the blue graphics on the instrument cluster turn green. The gearbox now hurries its way up through the gears with the intention to extract maximum fuel efficiency from the motor. The exhaust note gets a touch quieter as the car finds itself in the 5th, 6th and 7th ratios with minimal effort. It must be said that the drive mode selector exerts no influence on the exhaust note, which only quietens down as the DCT cycles to the higher rations and the revs drop to a relaxed 1,300 rpm. Kickdown response in Normal and Eco modes is slow as the gearbox takes a second or two to sort itself out before handing you the power. As we made our way to the open road, the opportunity to explore ""Sport"" mode presented itself to us. Knocking the selector into Sport changed the green graphics in the instrument cluster to red, and all it took is one harmless prod on the loud pedal to wake up the drivetrain. The DCT promptly dropped a few gears and suddenly, we found ourselves in the meat of the powerband. Part throttle application is all that was needed to hustle the car to triple-digit speeds and the fruity exhaust note only egged us on even more! The gearbox, in Sport mode, is not as seamless as it is in Normal or Eco modes. Hyundai appears to have tweaked the gearbox to deliver a very mild yet deliberate jolt as the transmission holds onto lower gears and only upshifts much later in the rev-range, ensuring that the 1.0 T-GDI keeps delivering the goods. Shedding speed in Sport mode will influence the gearbox to drop a gear or two, to ensure that the engine is kept on the boil and the strong mid-range is available to the driver. Kickdown in Sport mode is discernibly quicker than in Normal or Eco drive modes, but not nearly as quick as one might expect. Paddles behind the steering wheel allow you to take control of the gear changes - the left paddle allows you to drop a gear while the right paddle sends the transmission to the higher one. It must be said that the paddles are an absolute joy to use, and credit must go to their form factor and tactility. However, sustained punishment via the paddles is clearly not appreciated. The gearbox refused to downshift through the paddles after about 20 minutes of wringing the car by its neck. Calm driving for a couple of minutes allowed the gearbox to cool off and permitted the resumption of paddle-shift shenanigans. While Sport mode is fun and the engine does not hesitate to deliver its power in the mid-range, several chinks in the Venue N Lines armour will surface when you are done playing with the gearbox and decide to rev it up to the redline (6,000 rpm). Above 4,000 rpm is when the exhaust note is somewhat drowned out by the coarse 3-cylinder engines thrum, and at around 4500 rpm is where you can feel the cars power dropping off a little. Go above 5,000 rpm and the 3-cylinder motor makes its presence felt in more ways than just the thrum, as the cars power appears to completely drop off. This 1.0 T-GDI motor does not enjoy being wrung to its limits and is most happy delivering its power between 2,000 and 4,000 rpm. Even the gearbox, in Sport mode, tends to upshift well before the revs creep to the redline. While there may not be any real drama or push-back-into-the-seat feeling from this 1.0 T-GDI motor, there is no doubt that the Venue N Line is a competent expressway cruiser that delivers power in a linear and fuss-free fashion. In city limits, the Venue N Line is an absolute hoot to drive especially in Sport mode, as the gearbox downshifts frequently and the muted yet snarly exhaust note bounces off the walls and flyover ramps. Its a great point-and-shoot tool that takes little-to-no effort whatsoever to put a smile on your face. We thoroughly enjoyed blipping the throttle and dropping gears while navigating city streets and often found ourselves playing with the throttle and paddles just to listen to the exhaust note. With that out of the way, it must be said that Hyundai has missed a trick or two while developing its N Line variants. We feel Hyundai could have done more to make the Venue N Line even more entertaining. A factory ECU tweak for a little more power or snappier gearshifts would have been welcome as this engine is mechanically no different from the one found in the Turbo variant of the Venue. We certainly think the N Line deserves a mild power bump to truly distinguish it from the regular Venue. And while the DCT is a great transmission, a manual option should have been offered for those who like to do the work themselves. Suspension The biggest compliment we can pay to the Venue N Line is that its suspension and steering are very un-Hyundai-like! The suspension particularly appears to be tweaked to deliver a sense of firmness that simply isnt characteristic of Hyundais. It is clear that Hyundai has fiddled with the shocks' valving in order to achieve the firmer damping and rebound actions, and it is more than just perceivable. This firmness is immediately observed while negotiating ruts and undulations on city roads. But this firmness does not make the ride uncomfortable as such, and only communicates the road surface to the cars occupants without tossing them around. The firm suspension is almost dismissive of ruts and undulations even at three-digit speeds. On the open road, the Venue N Line feels quite settled at high speeds. It can feel a bit twitchy while switching lanes at speed, but that is due to the cars compact crossover ground clearance and perhaps, the short wheelbase. It is not as settled as its European counterparts, but its certainly an improvement over the regular Venue. However, much like the drivetrain, chinks in the Venue N Line's armour will surface when the car is pushed hard. Body roll, although controlled to a degree, becomes pretty obvious. Again, this could be down to the added ground clearance and the extremely average MRF Wanderer Eco tyres. The steering is not feather-light and dead off-centre as most of us may have come to expect from Hyundais generally. There is some heft & weight to the EPS, even at lower speeds. The steering isnt exactly sharp, but its accurate enough to keep you interested. However, the weighted steering simply does not inspire confidence while pushing the car around tight corners as it feels completely disconnected. The brakes on the other hand are as good as they can get for a car of this size. All-round disc brakes will bring the Venue N Line to a stop fairly quickly and if it werent for the MRF tyres, the braking performance might have felt even more sure-footed. The brake pedal is sharp and takes a little getting used to, but once youve got the hang of it you wouldnt be short on confidence when emergency braking becomes necessary. Hyundai has done a decent job in calibrating the steering and suspension to deliver a sporty experience. However, we cant help but feel that the changes are merely surface-level at best. Make no mistake, the Venue N Line is not a true ""N"" product and therefore, expectations must be tempered accordingly. The incremental changes the N Line variant brings with it, serve the intended purpose  provide the ""N"" flavour without the added calories and sugar. In that respect, the Venue N Line meets the objective.", 19th September 2022,hyundai-venue,Bangalore,"8,828","12,241",Interior/Instrument Panel/Material Quality (broken or difficult to use),Very Positive
2, suhaas307 , 11:00 ,Team-BHP Support,"Hyundai Venue N Line Exterior Images Large squared-off radiator grille with chrome embellishments may too a tad too loud for some. N Line badging is almost lost in that sea of chrome. Silver skid plate gets N Line exclusive red insert: Rear end is far more subtle, save for the red touches, N-Line badge and dual barrel exhaust tips. No fake exhaust outlets here and that's a relief! Subtle side profile with red accents complementing the plastic cladding and of course, N Line badges on the fenders. The proportions of the N Line when viewed from the side are just right: We suspect many enthusiasts will opt to wrap the chrome grille in gloss black: Shadow Grey colour option really pops in the sunlight: Vents at the corners of the front bumper... ...help channel air around the front wheels. No fake vents here: N Line exclusive 16"" wheels deserve far better rubber than the factory-fitted 215/60 section MFR Wanderer EcoTred tyres. Red brake calipers are a nice touch: Rear disc brakes are a welcome addition. However, the calipers ought to have been painted red to match the front brake assembly: N Line badging and dual barrel exhaust tips help distinguish the car from the regular Venue: ", 19th September 2022,hyundai-venue,Bangalore,"8,828","12,241","Brakes, Wheels or Tires",Very Positive
3, suhaas307 , 11:00 ,Team-BHP Support,"Hyundai Venue N Line Interior Images Leather-wrapped steering wheel with contrast red stitching and ""N"" logo is lifted straight out of the European i20N and i30N models. However, adjustment is limited to rake and not reach: Quality of leather and switchgear on the steering is top-notch: Paddle shifters are finished in black: Instrument cluster changes colour according to the selected drive mode. It is bathed in either blue (Normal), green (Eco) or red (Sport): Doorpads get red stitching on the armrest to complement the rest of the red touches in the interior: Front seats offer plenty of support and are comfortable even for longer drives. Red piping, red stitching and red chequered-flag motif are N Line exclusive touches: Like the regular Venue, the N Line gets a 4-way electric adjustment for the driver's seat: Aluminium pedals because it's the N Line: Unlike the regular Venue, the N Line gets an auto-dimming IRVM: Dual way dash cam with a 2.31-inch LCD display is a segment first and extremely handy in tricky situations: Large infotainment screen dominates the dashboard: N Line exclusive gear lever has been nicked from the European i20N and i30N models: Rotary drive mode selector is finished in glossy black and gets a red outline: Rear bench also gets red N Line highlights. Reclining rear bench and foldable armrest with integrated cupholders makes the back seat a comfortable place to be: Disclaimer: Hyundai invited Team-BHP for the Venue test-drive.", 19th September 2022,hyundai-venue,Bangalore,"8,828","12,241",Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
4, Aditya , 11:00 ,Team-BHP Support,Thread moved out from the Assembly Line. Thanks for sharing!, 19th September 2022,hyundai-venue,Mumbai,"17,608","76,004",All-Wheel/4-Wheel Drive,Very Positive
5, Gautham_v6 , 11:42 ,BHPian,"Except for the dash cam and rear disc brakes, I do not find any useful addition to the N line, which is mostly a cosmetic update on Hyundai Venue's T-GDI 1.0 l versions. (Please let me know if there is any misinformation on my current post). I would like to appreciate Hyundai for going all out in providing the Dash cam especially. But would their ASC acknowledge the presence of dash cam this time around , given recent spate of issues with customers wherein dash cam was prohibited owing to privacy issues? As for the review, it was a good review and very well detailed.", 19th September 2022,hyundai-venue,Chennai,103,206,Entertainment/Navigation/Connectivity (broken or difficult to use),Very Positive
6, nisshith , 11:49 ,BHPian,The main gripe from my side on Venue is the absence of ventilated seats. This is a real value add feature which is missing from Venue especially given the hot climate of our country. I really hope the next update brings this much-needed feature., 19th September 2022,hyundai-venue,Noida,97,146,Drivetrain,Very Positive
7, aniketi , 11:51 ,Senior - BHPian," Quote: Originally Posted by suhaas307 [center][h2]  Price premium over the regular Venue is totally justified by the additions & improvements But regular variant itself is costly at first place. So this becomes more costly. Venue demands high cost for what it offers IMHO. Hyundai / KIA adds some fancy features and increase prices like anything. Sadly safety is not on their priority list, features are.", 19th September 2022,hyundai-venue,Pune,"1,989","2,697",Climate Control - Heating & Cooling (broken or difficult to use),Negative
8, DCTfanatic , 12:01 ,Newbie,I am wondering if it would be possible to have the N-Line exhaust sourced and retro-fitted onto the 1st generation Venue Turbo DCT?, 19th September 2022,hyundai-venue,Ahmedabad,19,9,All-Wheel/4-Wheel Drive,Negative
9, UMXR , 12:20 ,BHPian,"Personally I think it looks good from the rear end only, with the twin barrel exhaust(which is real!) give's it character. I'll still take the i20 n-line, at least has a imt and stiffer suspension to make it a real upgrade over the standard i20 turbo.", 19th September 2022,hyundai-venue,Navi,25,36,Interior/Instrument Panel/Material Quality (broken or difficult to use),Positive
10, Blue_Silver , 13:15 ,Newbie,"Kudos to Hyundai for bringing this concept of ""N-Line"" for us enthusiast, but as aptly mentioned this is in some way a soft approach towards having a full blown mod car. Apart from the addition of Turbo Petrol DCT and some cosmetic changes i feel this car doesn't being much changes to the already a practical car. I feel we will start getting these ""N-Line"" specific body kits available in the market for other Venue owners to flaunt, if not directly from Hyundai then from open market. Do we Indian's really will get any Muscle car or that's never going to happen?", 19th September 2022,hyundai-venue,PUNE,17,26,Climate Control - Heating & Cooling (broken or difficult to use),Positive
11, lordrayden , 14:23 ,BHPian," Quote: Originally Posted by suhaas307 factory-fitted dual camera dash-cam. This is a nice touch. Though I have some issues with it:The dash-cam they have installed looks horrible and sticks out like a sore thumb! I think a much better thing for car makers to do is copy MG's idea and just give a (possibly always-on) USB port on the rear view mirror assembly in front and on the high-mounted stop-lamp assembly at the rear. This way customers can easily install front and rear dash-cams of their choice without worrying about the wiring. Also, ""dual"" or ""dual-channel"" dash-cams generally mean one camera's recording what's in front of the car and another camera's recording what's behind the car. What Hyundai has done here is just given a single dash-cam unit with cameras on both sides. For private vehicles, not sure of the purpose of a camera recording the occupants. This is something I see mainly in Uber and other ride share cars in the US and Europe to record their customers to capture/discourage any wrong-doings on their part. ", 19th September 2022,hyundai-venue,Bangalore,342,"2,276",Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
12, suhaas307 , 15:49 ,Team-BHP Support," Quote: Originally Posted by Gautham_v6 Except for the dash cam and rear disc brakes, I do not find any useful addition to the N line, which is mostly a cosmetic update on Hyundai Venue's T-GDI 1.0 l versions. (Please let me know if there is any misinformation on my current post). I would like to appreciate Hyundai for going all out in providing the Dash cam especially. But would their ASC acknowledge the presence of dash cam this time around , given recent spate of issues with customers wherein dash cam was prohibited owing to privacy issues? As for the review, it was a good review and very well detailed. Quote: Originally Posted by Blue_Silver Kudos to Hyundai for bringing this concept of ""N-Line"" for us enthusiast, but as aptly mentioned this is in some way a soft approach towards having a full blown mod car. Apart from the addition of Turbo Petrol DCT and some cosmetic changes i feel this car doesn't being much changes to the already a practical car. I feel we will start getting these ""N-Line"" specific body kits available in the market for other Venue owners to flaunt, if not directly from Hyundai then from open market. Do we Indian's really will get any Muscle car or that's never going to happen? I do not agree completely. Yes, it is largely cosmetic, but there are perceptible changes to the steering, brakes, suspension and exhaust that add a lot of value to a casual enthusiast or someone looking for a fun car with practicality. The dash cam no doubt is a great addition, but I think we must take a step back and acknowledge that a company like Hyundai is at least trying to cater to a niche market while other companies like Maruti are just slapping stickers onto Swifts and calling them limited edition models. During the i20 N-Line drive last year, we asked Hyundai if they would be open to offering the extra parts as optional extras for existing i20 Turbo customers and they clearly mentioned that such offerings will be subject to ARAI approvals and its a huge headache. Quote: Originally Posted by nisshith The main gripe from my side on Venue is the absence of ventilated seats. This is a real value add feature which is missing from Venue especially given the hot climate of our country. I really hope the next update brings this much-needed feature. I agree. The lack of ventilated seats is a huge omission, especially after experiencing it extensively in my father-in-laws new Verna. It is such a boon considering our weather conditions. Quote: Originally Posted by aniketi But regular variant itself is costly at first place. So this becomes more costly. Venue demands high cost for what it offers IMHO. Hyundai / KIA adds some fancy features and increase prices like anything. Sadly safety is not on their priority list, features are. Welcome to the Indian domestic market where pretty much every car is either overpriced or compromised in some way, or both. Are you new here? Just kidding! Quote: Originally Posted by DCTfanatic I am wondering if it would be possible to have the N-Line exhaust sourced and retro-fitted onto the 1st generation Venue Turbo DCT? Not sure if this can be done. But it is unlikely Hyundai will offer these products as optional extras for existing customers of the regular Venue. Please see my response to this above. Quote: Originally Posted by UMXR Personally I think it looks good from the rear end only, with the twin barrel exhaust(which is real!) give's it character. I'll still take the i20 n-line, at least has a imt and stiffer suspension to make it a real upgrade over the standard i20 turbo. I think the front end can be massively improved by wrapping the outrageous grille in gloss black wrapping material - or it could even be painted? I am certain this will transform the front end of the car. Also, please note that the Venue N-Line also has the stiffer suspension just like the i20 N-Line. The damping and rebound are nearly identical. The IMT is personally not my cup of tea. I am glad Hyundai chose not to provide IMT as an option. Never understood the appeal to be honest. Either do a proper manual or a proper automatic! We feel Hyundai should have offered manual gearbox options on both the i20 and Venue N-Line cars.", 19th September 2022,hyundai-venue,Bangalore,"8,828","12,241",Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
13, sunikkat , 16:20 ,Senior - BHPian," Quote: Originally Posted by suhaas307 Yes, it is largely cosmetic, but there are perceptible changes to the steering, brakes, suspension and exhaust that add a lot of value to a casual enthusiast or someone looking for a fun car with practicality. Thanks for the review Quick question if some one is looking for a fun to drive compact SUV, which one would be your pick as an overall fun package (engine+gearbox+handling+highspeed manners) - C3 vs. Venue NLine vs. Kushaq/Taigun 1 TSI? On other note, personally, I would prefer i20 N Line over this, as i20 is more stylish (subjective), has better and more modern interiors and layout, more spacious etc and also would handle better with low GC.", 19th September 2022,hyundai-venue,Bangalore,"1,226","3,307","Engine, Fuel System and Exhaust",Very Positive
14, FrAgile , 16:37 ,BHPian,"According to the review, the steering is accurate but feels disconnected and dead. I am keen to know that if this is worse than the i20 N-Line or they are more or less the same. The i20 N-Line is not having this feedback in the review, so my assumption is that being a hatch and lower ground clearance, the steering is a bit better tuned or feels better as compared to the one in Venue.", 19th September 2022,hyundai-venue,NCR,67,93,Climate Control - Heating & Cooling (broken or difficult to use),Negative
15, Mustang Sammy , 21:27 ,BHPian,Nice review! Thanks for the detailed description and pics. IMHO at these prices they could at least provide basic features like telescopic steering and ventilated seats., 19th September 2022,hyundai-venue,"Poone,",443,"1,637",Features/Controls/Displays (broken or difficult to use),Very Positive
16, SuperSuri , 21:29 ,BHPian," Quote: Originally Posted by DCTfanatic I am wondering if it would be possible to have the N-Line exhaust sourced and retro-fitted onto the 1st generation Venue Turbo DCT? I dont think Hyundai would do that. However, you can go with a straight pipe exhaust with a valvetronic muffler for a good exhaust note. ", 19th September 2022,hyundai-venue,Dilli,146,447,Climate Control - Heating & Cooling (broken or difficult to use),Negative
17, DCTfanatic , 21:45 ,Newbie," Quote: Originally Posted by SuperSuri I dont think Hyundai would do that. However, you can go with a straight pipe exhaust with a valvetronic muffler for a good exhaust note. That would be the ideal and also my first choice, but unfortunately something like that isn't available easily in Ahmedabad.", 19th September 2022,hyundai-venue,Ahmedabad,19,9,Climate Control - Heating & Cooling (broken or difficult to use),Neutral
18, suhaas307 , 22:49 ,Team-BHP Support," Quote: Originally Posted by sunikkat Thanks for the review Quick question if some one is looking for a fun to drive compact SUV, which one would be your pick as an overall fun package (engine+gearbox+handling+highspeed manners) - C3 vs. Venue NLine vs. Kushaq/Taigun 1 TSI? On other note, personally, I would prefer i20 N Line over this, as i20 is more stylish (subjective), has better and more modern interiors and layout, more spacious etc and also would handle better with low GC. It would be really hard to choose between the two. The Kushaqs 1.0 TSI is a far superior engine without a doubt. It revs and makes power all the way to redline, but the Venue N-Line sort of plateaus after 4-4.5K RPM. Also the Kushaq is a better built product comparatively. So if the engine is really important to you and build quality too, the Kushaq is the way to go. But if you dont mind a slightly inferior engine and build quality, the N Line offers a lot for the money relatively of course. Its a more fun package thanks to the weighted steering, firmer suspension, fruiter exhaust and paddle shifters on the wheel. I too prefer the i20 N Line but somehow the Venue N Line proves to be a greater overall package thanks to the added ground clearance. Quote: Originally Posted by FrAgile According to the review, the steering is accurate but feels disconnected and dead. I am keen to know that if this is worse than the i20 N-Line or they are more or less the same. The i20 N-Line is not having this feedback in the review, so my assumption is that being a hatch and lower ground clearance, the steering is a bit better tuned or feels better as compared to the one in Venue. The steering is more or less the same as the i20 N Lines. But the reason why the i20 felt a bit better on faster swooping corners or tighter twistiest is probably because the Venue sits a lot higher with more ground clearance. Both had very poor tyres and its absolutely essential that one upgrades to nicer stickier rubber.", 19th September 2022,hyundai-venue,Bangalore,"8,828","12,241",Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
19, GTO , 10:39 ,Team-BHP Support,"Super delighted to see India's no.2 carmaker coming out with editions for enthusiasts . As Suhaas said, there are perceptible improvements to the driving experience. Plus, the enjoyable exhaust note! This also adds some sheen to the brand, image & showrooms. Hope Maruti & Tata come out with sportier editions (Swift Sport, tuned Altroz etc.). Quote: Originally Posted by DCTfanatic I am wondering if it would be possible to have the N-Line exhaust sourced and retro-fitted onto the 1st generation Venue Turbo DCT? Get a free-flow exhaust . But you will lose your warranty. Not a good idea to terminate the extended warranty on a complex turbo-petrol motor with a dual-clutch AT. Maybe after the warranty expires. Quote: Originally Posted by suhaas307 It would be really hard to choose between the two. Based on your review, I think the Kushaq 1.5L DSG will still be more fun to drive than the Venue N-Line. But it will come with the usual Skoda headaches. Thug dealers, reliability concerns and a DQ200 DSG that will almost certainly fail once or twice in a 10-year ownership period.", 20th September 2022,hyundai-venue,Bombay,"70,235","298,015",Climate Control - Heating & Cooling (broken or difficult to use),Positive
20, yash1998 , 11:39 ,Newbie,"Since safety features are mentioned in pros, overall unsafe car rating and unstable body shell structure should have been mentioned in the cons. Thanks for the review.", 20th September 2022,hyundai-venue,Mumbai,4,10,Body Exterior and Paint,Positive
21, UD17 , 12:08 ,BHPian,"Thanks for a informative and detailed review. This review has everything which i as a buyer will look out for. I would buy this for: 1. 118 BHP enthusiast taste 2. A perfect balance for a city car- small size, nice ride, boot space, drivability and features 3. SUVish so ground clearance is no worry. Venue is nice car to replace any premium hatch and yet provide much move over and above that I would not buy this for: 1. DCT gear box 2. Cost for that puny presence 3. Service cost with Hyundai cars are relatively higher Venue looks much better now with Taigun like rear extensions. Although it is becoming more difficult to identify Hyundai in IRVM due to similar grills (aka Creta, Tucson, Venue etc.)", 20th September 2022,hyundai-venue,Dwarahat,397,"1,205",Climate Control - Heating & Cooling (broken or difficult to use),Very Positive
22, McLaren Rulez , 17:21 ,Senior - BHPian," Quote: Originally Posted by yash1998 Since safety features are mentioned in pros, overall unsafe car rating and unstable body shell structure should have been mentioned in the cons. Thanks for the review. Has the Venue been through Global NCAP? I believe not but given the i20 and Creta both flopped, I agree that this should be highlighted in the cons section to help readers make an informed decision.", 20th September 2022,hyundai-venue,Mysore,"3,376","4,986",Entertainment/Navigation/Connectivity (broken or difficult to use),Very Positive
23, VikramCS , 19:48 ,BHPian,"Great informative review, thanks for sharing. One question that's lingering in my mind: Is the Hyundai's DCT more reliable than VW's DSG? Also, since both are mated to Turbo-petrol engines, overall as a package, which car would be more reliable in the long-run? From fun-to-drive perspective, VW seems ahead of Hyundai, however, if a buyer wants to bet his money, which among above is better?", 20th September 2022,hyundai-venue,Bangalore,128,223,Features/Controls/Displays (broken or difficult to use),Very Positive
